epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.576,0.99682,9.65378,0.69016,0.83092,1.35917,0.94492,0.94198,0.98028,0.7887,0.39296,0.21299,0.1155,0.01633,0.8438,7.0764,0.55328,0.47788,1.21272,0.00333042,0.00333042,0.00333042
2,309.627,0.88881,7.22786,0.63978,0.62947,1.25391,0.94279,0.93737,0.97824,0.78918,0.68394,0.41688,0.35582,0.14097,0.82724,5.47086,0.40773,0.50888,1.19146,0.00659778,0.00659778,0.00659778
3,473.444,0.93855,6.43541,0.58703,0.67954,1.28005,0.92052,0.87519,0.9486,0.74416,0.82428,0.5105,0.52467,0.27003,0.9181,4.77678,0.33896,0.62271,1.28066,0.00979914,0.00979914,0.00979914
4,622.649,0.95602,6.06276,0.51723,0.70725,1.28965,0.90616,0.87321,0.93694,0.73459,0.83266,0.55251,0.57739,0.3441,0.92139,4.26963,0.22782,0.62075,1.2826,0.009703,0.009703,0.009703
5,814.992,0.91427,5.55281,0.4615,0.65115,1.25583,0.95294,0.92303,0.97615,0.78851,0.66468,0.52395,0.44457,0.24394,0.8229,4.343,0.16696,0.49143,1.19656,0.009604,0.009604,0.009604
6,938.021,0.88641,5.21304,0.43044,0.62229,1.23924,0.95076,0.9448,0.97991,0.80815,0.83906,0.64103,0.66903,0.41979,0.78328,3.49842,0.15087,0.45306,1.16615,0.009505,0.009505,0.009505
7,1070.12,0.86036,4.9642,0.40412,0.5919,1.21753,0.95321,0.9445,0.98336,0.82656,0.79446,0.67969,0.67657,0.4484,0.75588,3.31867,0.12652,0.42767,1.13066,0.009406,0.009406,0.009406
8,1212.84,0.83817,4.78823,0.39022,0.57201,1.20557,0.96268,0.95594,0.98597,0.82851,0.79668,0.69249,0.69314,0.46468,0.73334,3.20895,0.10774,0.4088,1.1113,0.009307,0.009307,0.009307
9,1353.18,0.82436,4.69259,0.3751,0.56039,1.19473,0.95742,0.95774,0.98426,0.83587,0.81263,0.68654,0.69524,0.4864,0.71577,3.11664,0.09981,0.39513,1.10088,0.009208,0.009208,0.009208
10,1488.97,0.81175,4.53814,0.36812,0.54629,1.18641,0.95871,0.9575,0.98619,0.84274,0.84148,0.71427,0.74364,0.52129,0.70034,2.9148,0.10491,0.38829,1.09072,0.009109,0.009109,0.009109
11,1649.88,0.79903,4.40972,0.35943,0.5378,1.1773,0.95816,0.95915,0.98599,0.84011,0.82591,0.72707,0.73241,0.51353,0.68115,2.85763,0.10445,0.38363,1.077,0.00901,0.00901,0.00901
12,1771.2,0.78344,4.28776,0.35148,0.52159,1.16429,0.9607,0.95838,0.98676,0.85685,0.80547,0.70184,0.6979,0.49717,0.66936,2.95235,0.08836,0.36145,1.06759,0.008911,0.008911,0.008911
13,1892.69,0.78269,4.22015,0.34801,0.51363,1.16441,0.96222,0.95909,0.98594,0.84958,0.83184,0.7368,0.75113,0.54826,0.68192,2.7024,0.08437,0.36221,1.06941,0.008812,0.008812,0.008812
14,2013.54,0.77789,4.14627,0.34089,0.50705,1.15904,0.96892,0.95827,0.98762,0.84569,0.83011,0.75285,0.75251,0.53695,0.69158,2.64068,0.08718,0.35756,1.06975,0.008713,0.008713,0.008713
15,2133.52,0.76341,4.07878,0.33552,0.49411,1.15171,0.96752,0.96155,0.98762,0.85843,0.8293,0.7532,0.75981,0.56308,0.64206,2.57022,0.07935,0.35173,1.04255,0.008614,0.008614,0.008614
16,2253.28,0.75301,3.99267,0.33236,0.48554,1.14489,0.96419,0.96452,0.98842,0.85938,0.82526,0.77849,0.77756,0.58174,0.63757,2.43318,0.07536,0.34626,1.04549,0.008515,0.008515,0.008515
